Employee_ID,Age,Gender,City,Department,Education,Experience,Performance_Score,Salary
E0104,41.0,Female,Hyderabad,Finance,Bachelor's,20,10,154564.39
E0105,45.0,Male,Mumbai,HR,Bachelor's,24,7,158108.21
E0106,43.0,Male,Chennai,Finance,Bachelor's,20,10,154322.76
E0107,39.0,Female,Bangalore,Operations,PhD,7,8,99804.06
E0108,49.0,Female,Bangalore,Operations,Bachelor's,8,10,112730.52
E0109,56.0,Male,Chennai,Sales,Master's,14,1,113508.16
E0110,30.0,Male,Delhi,Finance,Bachelor's,12,6,105939.22
E0111,49.0,Male,Delhi,Sales,Bachelor's,6,8,94815.29
E0112,46.0,Female,Bangalore,Sales,Master's,8,4,94126.27
E0113,29.0,Female,Hyderabad,HR,Bachelor's,10,6,93654.24
E0114,24.0,Female,Chennai,Sales,Master's,14,2,117035.37
E0115,49.0,Male,Hyderabad,Operations,Bachelor's,8,3,82935.32
E0116,45.0,Male,Mumbai,Sales,PhD,3,9,88036.41
E0117,41.0,Male,Hyderabad,IT,Bachelor's,0,5,66587.12
E0118,39.0,Male,Bangalore,Finance,Master's,11,4,97031.56
E0119,36.0,Female,Chennai,Operations,Bachelor's,3,10,72084.41
E0120,26.0,Male,Chennai,Sales,Bachelor's,15,9,120993.54
E0121,36.0,Male,Hyderabad,HR,Bachelor's,1,4,46101.94
E0122,31.0,Male,Bangalore,HR,Master's,0,4,
E0123,57.0,Male,Chennai,Sales,Master's,15,7,142781.22
E0124,23.0,Male,Hyderabad,IT,Bachelor's,20,3,134368.47
E0125,60.0,Male,Delhi,Sales,Bachelor's,14,1,115220.5
E0126,35.0,Female,Hyderabad,Finance,Bachelor's,6,7,82927.09
E0127,33.0,Female,Mumbai,Operations,Bachelor's,0,10,71727.52
E0128,37.0,Female,Bangalore,Finance,Master's,13,5,109028.08
E0129,39.0,Female,Delhi,Sales,Bachelor's,11,9,115123.59
E0130,40.0,Female,Bangalore,HR,Bachelor's,14,2,105774.64
E0131,48.0,Male,Delhi,Sales,Bachelor's,5,8,96860.41
E0132,23.0,Female,Chennai,Finance,Master's,2,3,55697.3
E0133,55.0,Male,Chennai,Sales,Master's,2,3,66108.22
E0134,49.0,Female,Chennai,Sales,Bachelor's,3,6,75858.83
E0135,29.0,Male,Chennai,HR,Bachelor's,15,4,105522.06
E0136,33.0,Male,Bangalore,Sales,Bachelor's,17,4,126019.22
E0137,54.0,Female,Delhi,HR,Bachelor's,1,2,57903.49
E0138,32.0,Male,Hyderabad,Sales,Bachelor's,8,9,110996.93
E0139,34.0,Female,Delhi,HR,Master's,13,1,88136.47
E0140,56.0,Female,Hyderabad,Operations,Bachelor's,11,9,117411.04
E0141,36.0,Male,Mumbai,Sales,Bachelor's,14,10,131607.44
E0142,45.0,Female,Bangalore,Sales,Bachelor's,9,9,112571.73
E0143,48.0,Female,Bangalore,HR,Master's,16,8,140204.22
E0144,47.0,Male,Hyderabad,HR,Master's,22,5,152406.58
E0145,43.0,Female,Bangalore,Sales,Master's,20,1,127183.35
E0146,42.0,Male,Chennai,Finance,Bachelor's,14,6,121183.77
E0147,46.0,Female,Bangalore,Operations,PhD,15,8,142061.86
E0148,29.0,Female,Chennai,IT,Master's,15,2,112484.89
E0149,55.0,Male,Chennai,Operations,Bachelor's,1,7,67407.37
E0150,27.0,Male,Chennai,Sales,Bachelor's,3,8,72968.56
E0151,55.0,Female,Bangalore,IT,Bachelor's,20,4,135153.4
E0152,28.0,Male,Bangalore,Operations,PhD,20,9,144615.25
E0153,42.0,Female,Delhi,Sales,PhD,14,5,122168.44
E0154,34.0,Female,Mumbai,Sales,Master's,5,6,86885.72
E0155,40.0,Male,Mumbai,IT,PhD,2,6,66157.37
E0156,27.0,Male,Hyderabad,IT,Master's,12,6,110741.25
E0157,35.0,Female,Chennai,Finance,Master's,1,1,41471.18
E0158,40.0,Female,Delhi,Finance,Bachelor's,12,10,129669.8
E0159,52.0,Male,Chennai,Operations,Bachelor's,1,5,64417.26
E0160,59.0,Female,Mumbai,IT,Bachelor's,25,1,155980.05
E0161,53.0,Female,Mumbai,IT,Bachelor's,19,4,135026.18
E0162,50.0,Male,Delhi,Sales,Bachelor's,25,10,179567.06
E0163,57.0,Female,Hyderabad,Operations,Master's,3,4,83103.41
E0164,33.0,Male,Delhi,IT,Master's,11,10,119959.3
E0165,59.0,Female,Mumbai,Operations,PhD,24,1,156011.4
E0166,33.0,Male,Bangalore,Sales,Bachelor's,15,9,129662.13
E0167,23.0,Male,Bangalore,Finance,Bachelor's,5,7,77945.6
E0168,52.0,Male,Mumbai,IT,Bachelor's,3,2,63457.25
E0169,30.0,Male,Bangalore,Finance,Master's,19,6,132850.9
E0170,59.0,Male,Bangalore,Sales,PhD,8,8,111530.3
E0171,52.0,Female,Mumbai,Operations,PhD,18,10,148561.92
E0172,45.0,Female,Hyderabad,Sales,Master's,11,7,115876.82
E0173,43.0,Male,Chennai,Sales,Master's,21,8,164429.83
E0174,31.0,Male,Delhi,Sales,Bachelor's,12,9,122348.66
E0175,53.0,Female,Mumbai,Finance,Master's,23,4,150580.39
E0176,38.0,Male,Chennai,Sales,Bachelor's,7,6,98372.07
E0177,57.0,Female,Bangalore,Finance,Bachelor's,18,9,147973.28
E0178,27.0,Male,Chennai,Finance,PhD,14,1,98253.68
E0179,43.0,Female,Hyderabad,Finance,Master's,6,4,78440.01
E0180,38.0,Female,Hyderabad,Operations,Master's,23,8,158846.05
E0181,24.0,Female,Mumbai,IT,Master's,14,2,96272.21
E0182,56.0,Female,Bangalore,Sales,Master's,8,3,88443.68
E0183,22.0,Male,Bangalore,Operations,Master's,8,7,91552.34
E0184,29.0,Male,Chennai,Finance,Bachelor's,8,7,94981.6
E0185,28.0,Male,Hyderabad,IT,Bachelor's,6,3,65184.53
E0186,38.0,Female,Delhi,Finance,Bachelor's,17,2,127044.39
E0187,26.0,Female,Delhi,IT,Bachelor's,19,7,140638.08
E0188,46.0,Male,Bangalore,HR,Master's,13,1,102646.43
E0189,24.0,Male,Bangalore,IT,Bachelor's,20,3,130745.44
E0190,58.0,Female,Mumbai,HR,Master's,4,6,88481.75
E0191,48.0,Male,Chennai,Finance,Bachelor's,20,2,137870.3
E0192,46.0,Male,Chennai,Sales,Bachelor's,2,8,79605.64
E0193,57.0,Female,Chennai,Sales,PhD,20,3,137469.23
E0194,38.0,Male,Bangalore,IT,PhD,16,1,115357.19
E0195,53.0,Male,Hyderabad,Finance,Bachelor's,19,9,155228.35
E0196,47.0,Male,Bangalore,HR,PhD,21,2,139130.22
E0197,40.0,Male,Delhi,IT,Bachelor's,2,3,58449.25
E0198,32.0,Male,Chennai,Operations,Master's,2,5,65712.88
E0199,34.0,Female,Hyderabad,Operations,Master's,0,3,51943.67
E0200,24.0,Male,Bangalore,HR,Bachelor's,20,6,141455.85
E0201,27.0,Female,Bangalore,Finance,Bachelor's,25,3,160770.91
E0202,54.0,Female,Bangalore,Sales,Bachelor's,1,3,65298.77
E0203,49.0,Male,Delhi,IT,Bachelor's,6,8,96637.3
E0204,39.0,Male,Mumbai,HR,Bachelor's,9,8,107696.72
E0205,38.0,Female,Chennai,Finance,Bachelor's,20,7,139446.04
E0206,58.0,Female,Chennai,Operations,Bachelor's,18,6,147726.0
E0207,49.0,Female,Bangalore,Sales,Master's,8,6,95782.28
E0208,28.0,Male,Chennai,IT,Bachelor's,10,8,101639.45
E0209,51.0,Female,Delhi,Sales,Master's,8,6,101924.68
E0210,21.0,Male,Bangalore,Sales,Bachelor's,20,7,136579.01
E0211,54.0,Male,Hyderabad,Operations,PhD,1,3,64344.53
E0212,41.0,Male,Delhi,IT,Master's,22,1,134696.47
E0213,50.0,Male,Delhi,Finance,Master's,16,4,118426.18
E0214,49.0,Male,Chennai,Finance,Bachelor's,19,4,136858.55
E0215,31.0,Male,Hyderabad,HR,PhD,24,6,163197.61
E0216,60.0,Female,Mumbai,Finance,Bachelor's,6,6,90578.76
E0217,28.0,Female,Mumbai,IT,Master's,16,7,130746.59
E0218,46.0,Female,Delhi,IT,Bachelor's,20,3,137371.17
E0219,29.0,Female,Chennai,Finance,PhD,10,9,109183.86
E0220,24.0,Female,Hyderabad,HR,PhD,21,10,161738.51
E0221,21.0,Female,Delhi,HR,Master's,23,1,135505.47
E0222,43.0,Female,Bangalore,IT,Master's,17,3,138494.25
E0223,47.0,Female,Bangalore,HR,Master's,1,10,79169.77
E0224,36.0,Female,Hyderabad,HR,Bachelor's,7,4,78371.45
E0225,47.0,Female,Hyderabad,HR,Master's,15,6,116647.73
E0226,28.0,Female,Bangalore,IT,Master's,16,5,114753.34
E0227,40.0,Female,Delhi,Finance,Master's,22,2,140502.61
E0228,53.0,Female,Delhi,IT,Bachelor's,8,8,96555.74
E0229,21.0,Male,Delhi,IT,Bachelor's,10,3,79451.1
E0230,49.0,Male,Delhi,HR,Bachelor's,1,1,54706.25
E0231,48.0,Female,Bangalore,IT,Bachelor's,25,6,167456.74
E0232,53.0,Male,Hyderabad,IT,Master's,0,10,73575.05
E0233,32.0,Male,Chennai,HR,Master's,3,4,55644.4
E0234,45.0,Male,Hyderabad,Operations,Bachelor's,21,5,143622.28
E0235,32.0,Male,Delhi,Sales,Master's,3,5,66544.84
E0236,48.0,Female,Delhi,Sales,Master's,7,8,98117.2
E0237,44.0,Male,Hyderabad,HR,Master's,7,1,74638.29
E0238,48.0,Male,Hyderabad,IT,Master's,22,10,167367.19
E0239,52.0,Male,Chennai,Finance,PhD,19,6,142808.51
E0240,31.0,Female,Delhi,IT,PhD,1,4,57374.25
E0241,53.0,Female,Delhi,HR,Bachelor's,8,3,94399.73
E0242,43.0,Female,Chennai,Operations,Bachelor's,18,9,150599.03
E0243,49.0,Male,Mumbai,Sales,Bachelor's,0,3,51804.79
E0244,55.0,Female,Mumbai,Finance,Master's,18,1,130252.46
E0245,28.0,Male,Bangalore,Sales,Master's,1,3,54039.6
E0246,35.0,Female,Delhi,Finance,Master's,17,8,139670.35
E0247,40.0,Male,Delhi,Sales,Master's,24,2,152481.06
E0248,27.0,Male,Chennai,IT,Bachelor's,10,9,111450.3
E0249,43.0,Male,Hyderabad,Operations,Master's,9,2,81600.77
E0250,21.0,Female,Mumbai,IT,PhD,23,4,144673.97
E0251,38.0,Female,Delhi,Operations,Master's,11,3,95111.54
E0252,24.0,Female,Bangalore,Finance,Master's,11,5,93216.08
E0253,37.0,Male,Mumbai,Sales,Bachelor's,14,5,130707.89
E0254,38.0,Female,Delhi,HR,Master's,3,5,68357.52
E0255,46.0,Male,Hyderabad,Operations,Master's,1,10,76256.89
E0256,21.0,Male,Mumbai,HR,Bachelor's,18,9,142388.52
E0257,31.0,Male,Chennai,IT,Bachelor's,12,7,110337.99
E0258,48.0,Male,Mumbai,IT,Bachelor's,19,7,144344.17
E0259,59.0,Male,Chennai,Operations,Bachelor's,7,5,95323.29
E0260,49.0,Female,Delhi,HR,Bachelor's,14,3,116974.38
E0261,41.0,Male,Bangalore,IT,Master's,8,6,97242.15
E0262,58.0,Female,Bangalore,Sales,Bachelor's,22,9,173489.06
E0263,57.0,Female,Delhi,Finance,Master's,16,4,123731.84
E0264,50.0,Female,Bangalore,Finance,Bachelor's,25,4,158602.5
E0265,45.0,Male,Chennai,Sales,Bachelor's,0,1,54084.25
E0266,38.0,Male,Hyderabad,HR,Bachelor's,13,5,106523.78
E0267,55.0,Female,Hyderabad,Sales,Bachelor's,1,5,70279.45
E0268,52.0,Female,Delhi,Operations,Bachelor's,17,9,144310.55
E0269,43.0,Female,Delhi,Sales,Master's,25,8,166630.99
E0270,51.0,Male,Bangalore,IT,Bachelor's,20,5,148855.95
E0271,57.0,Male,Bangalore,Finance,Bachelor's,21,6,159445.39
E0272,23.0,Male,Delhi,Sales,PhD,10,9,95052.04
E0273,35.0,Male,Hyderabad,Operations,Bachelor's,23,4,145309.18
E0274,22.0,Female,Chennai,HR,PhD,23,1,135916.52
E0275,51.0,Male,Hyderabad,Finance,Bachelor's,13,2,96450.7
E0276,28.0,Female,Delhi,Sales,Bachelor's,5,2,67546.58
E0277,46.0,Male,Delhi,Sales,Bachelor's,24,2,140117.48
E0278,58.0,Female,Bangalore,HR,Master's,7,2,91201.02
E0279,37.0,Male,Hyderabad,Finance,PhD,18,2,117293.87
E0280,36.0,Male,Delhi,IT,Master's,12,4,104190.96
E0281,38.0,Male,Hyderabad,Finance,Bachelor's,24,1,137894.45
E0282,53.0,Male,Hyderabad,Finance,Bachelor's,2,6,80570.08
E0283,28.0,Female,Mumbai,Operations,Master's,17,3,116154.73
E0284,35.0,Male,Hyderabad,IT,Bachelor's,13,3,99532.65
E0285,40.0,Female,Hyderabad,Sales,Bachelor's,13,8,122588.21
E0286,46.0,Female,Chennai,Sales,PhD,12,4,105626.14
E0287,49.0,Female,Chennai,IT,Master's,4,10,79055.4
E0288,35.0,Female,Delhi,Operations,Bachelor's,23,9,162318.42
E0289,41.0,Female,Mumbai,Sales,PhD,7,6,91803.46
E0290,53.0,Female,Delhi,Finance,Bachelor's,5,5,78586.62
E0291,47.0,Male,Mumbai,HR,Master's,6,2,76799.41
E0292,41.0,Male,Hyderabad,Sales,Bachelor's,24,9,170376.97
E0293,29.0,Female,Mumbai,Operations,Bachelor's,18,10,149560.1
E0294,58.0,Female,Chennai,Finance,Bachelor's,1,6,68844.26
E0295,35.0,Female,Delhi,IT,Bachelor's,16,4,127764.3
E0296,53.0,Female,Mumbai,Operations,Bachelor's,21,5,147566.25
E0297,31.0,Male,Chennai,Sales,Bachelor's,22,9,159560.28
E0298,60.0,Male,Chennai,HR,Bachelor's,8,4,92923.95
E0299,44.0,Male,Mumbai,Sales,Master's,13,9,120800.97
E0300,34.0,Female,Delhi,IT,Bachelor's,3,7,74103.52
E0301,41.0,Female,Hyderabad,HR,Master's,18,7,136908.98
E0302,32.0,Female,Delhi,IT,Bachelor's,20,10,159296.8
E0303,58.0,Male,Chennai,IT,Bachelor's,17,8,144780.34
E0304,46.0,Male,Chennai,HR,Master's,21,5,152901.93
E0305,42.0,Male,Hyderabad,HR,Bachelor's,9,8,110602.43
E0306,49.0,Male,Hyderabad,Finance,Master's,25,7,170375.47
E0307,54.0,Female,Delhi,Operations,Bachelor's,17,9,146270.82
E0308,38.0,Male,Bangalore,HR,Master's,15,1,121157.6
E0309,49.0,Male,Bangalore,HR,Master's,5,10,103223.17
E0310,27.0,Male,Bangalore,IT,Bachelor's,19,9,147563.01
E0311,46.0,Female,Chennai,Operations,Master's,23,7,172051.06
E0312,30.0,Male,Chennai,Finance,Bachelor's,12,8,111113.31
E0313,47.0,Female,Chennai,HR,Bachelor's,22,4,141849.81
E0314,60.0,Male,Bangalore,IT,Master's,8,2,94218.98
E0315,27.0,Male,Chennai,HR,Master's,11,9,110671.73
E0316,33.0,Female,Delhi,Finance,Bachelor's,14,3,99833.9
E0317,22.0,Male,Bangalore,IT,Master's,24,10,164795.25
E0318,34.0,Female,Chennai,Sales,Bachelor's,17,2,118241.16
E0319,42.0,Female,Mumbai,Sales,Master's,14,10,128313.6
E0320,41.0,Female,Delhi,Finance,Bachelor's,6,5,84076.73
E0321,53.0,Female,Hyderabad,Sales,Bachelor's,2,10,90534.01
E0322,25.0,Male,Mumbai,Finance,Master's,18,6,134240.75
E0323,48.0,Male,Mumbai,Finance,Master's,13,9,134000.22
E0324,27.0,Male,Bangalore,Finance,Master's,17,2,107908.95
E0325,56.0,Male,Bangalore,Operations,Bachelor's,18,7,157267.36
E0326,52.0,Male,Chennai,Finance,Master's,17,5,122804.37
E0327,36.0,Male,Bangalore,HR,Bachelor's,11,10,114995.06
E0328,40.0,Male,Hyderabad,IT,Bachelor's,10,4,90674.46
E0329,32.0,Male,Hyderabad,Sales,Bachelor's,12,8,118316.6
E0330,29.0,Male,Hyderabad,IT,Bachelor's,23,3,145677.14
E0331,54.0,Female,Bangalore,Finance,Bachelor's,1,4,70929.58
E0332,57.0,Male,Hyderabad,HR,Bachelor's,17,4,137382.82
E0333,28.0,Male,Hyderabad,HR,Bachelor's,18,1,120824.94
E0334,31.0,Female,Chennai,Operations,Bachelor's,21,8,152591.11
E0335,32.0,Male,Bangalore,HR,Master's,11,8,113227.83
E0336,48.0,Female,Bangalore,Finance,PhD,22,3,145503.72
E0337,22.0,Female,Bangalore,Operations,Bachelor's,25,7,168893.55
E0338,48.0,Female,Chennai,Sales,Master's,22,4,153778.67
E0339,27.0,Male,Mumbai,Finance,PhD,15,4,120140.08
E0340,24.0,Female,Delhi,Operations,Bachelor's,9,3,84975.75
E0341,27.0,Female,Mumbai,Finance,Bachelor's,4,9,82609.61
E0342,24.0,Female,Delhi,Operations,Bachelor's,10,8,107382.12
E0343,23.0,Female,Delhi,IT,Bachelor's,20,7,140439.87
E0344,51.0,Female,Hyderabad,Sales,Bachelor's,13,2,105979.86
E0345,57.0,Male,Bangalore,HR,Bachelor's,19,10,155498.69
E0346,26.0,Female,Bangalore,Finance,PhD,15,1,106331.15
E0347,53.0,Male,Chennai,IT,PhD,12,10,130447.33
E0348,28.0,Male,Hyderabad,IT,Bachelor's,25,3,149316.34
E0349,53.0,Male,Hyderabad,IT,PhD,10,4,111859.83
E0350,55.0,Male,Hyderabad,HR,Bachelor's,16,1,120777.73
E0351,49.0,Female,Mumbai,HR,Bachelor's,5,10,97225.07
E0352,43.0,Female,Delhi,HR,Bachelor's,20,5,138664.79
E0353,56.0,Female,Delhi,Sales,Master's,2,3,61521.82
E0354,56.0,Female,Chennai,Finance,Master's,14,8,131457.8
E0355,27.0,Female,Mumbai,Operations,Bachelor's,6,7,76811.51
E0356,56.0,Male,Chennai,Sales,Bachelor's,20,10,159136.63
E0357,27.0,Male,Bangalore,Finance,Master's,11,7,107211.42
E0358,50.0,Female,Chennai,Operations,Master's,19,6,148916.94
E0359,55.0,Male,Delhi,Sales,Master's,3,10,85942.81
E0360,24.0,Male,Delhi,Sales,Bachelor's,18,9,146743.65
E0361,41.0,Female,Bangalore,Operations,Bachelor's,2,3,64457.09
E0362,41.0,Female,Hyderabad,Sales,Bachelor's,3,1,52844.76
E0363,57.0,Male,Mumbai,IT,Master's,3,8,78848.97
E0364,31.0,Male,Bangalore,Finance,Bachelor's,17,2,119617.44
E0365,40.0,Female,Delhi,IT,Bachelor's,25,3,159845.87
E0366,27.0,Female,Delhi,Finance,Master's,14,1,98212.86
E0367,52.0,Male,Mumbai,IT,Bachelor's,14,1,111985.37
E0368,38.0,Male,Mumbai,IT,Bachelor's,23,8,179477.41
E0369,56.0,Male,Bangalore,Finance,PhD,23,8,169703.73
E0370,53.0,Male,Bangalore,HR,Bachelor's,13,4,121159.49
E0371,54.0,Female,Delhi,HR,Master's,15,6,126621.89
E0372,58.0,Female,Mumbai,Finance,Master's,11,5,103490.99
E0373,21.0,Male,Hyderabad,Finance,Master's,5,8,76784.56
E0374,41.0,Male,Hyderabad,HR,Master's,1,6,57763.07
E0375,31.0,Male,Hyderabad,HR,PhD,11,7,112771.11
E0376,41.0,Male,Delhi,Operations,Master's,4,8,86033.4
E0377,21.0,Female,Bangalore,HR,Bachelor's,0,3,47261.54
E0378,56.0,Female,Hyderabad,Sales,Master's,18,1,129425.57
E0379,49.0,Female,Chennai,IT,Bachelor's,18,4,130090.99
E0380,44.0,Female,Bangalore,Operations,Bachelor's,15,2,113431.61
E0381,59.0,Female,Hyderabad,IT,Bachelor's,6,7,93916.73
E0382,54.0,Female,Bangalore,Sales,Master's,8,2,85068.35
E0383,40.0,Male,Mumbai,HR,Bachelor's,17,3,117498.69
E0384,40.0,Female,Hyderabad,Finance,Bachelor's,21,10,154238.6
E0385,22.0,Female,Hyderabad,Finance,Bachelor's,4,2,58883.08
E0386,59.0,Male,Hyderabad,Finance,Master's,1,4,61558.08
E0387,27.0,Female,Hyderabad,IT,Master's,16,1,104209.13
E0388,49.0,Female,Chennai,Finance,Master's,12,4,113229.11
E0389,40.0,Female,Mumbai,Finance,Bachelor's,3,9,84187.56
E0390,39.0,Male,Bangalore,Finance,Master's,4,7,80741.52
E0391,28.0,Female,Delhi,IT,Bachelor's,13,6,110511.45
E0392,27.0,Male,Mumbai,IT,Master's,13,3,101161.3
E0393,60.0,Male,Chennai,IT,PhD,0,10,86189.82
E0394,57.0,Male,Bangalore,IT,Master's,21,8,160001.75
E0395,37.0,Female,Chennai,Sales,Master's,22,8,167546.22
E0396,23.0,Male,Delhi,IT,PhD,20,4,140031.98
E0397,47.0,Male,Delhi,Sales,Bachelor's,2,8,72031.49
